Symbol,Side,SL,TP,Open Time,Open Price,Close Time,Close Price,PnL,Lots,Gain,Day of the week,Session,RR Ratio,Pips,Hour_Decimal,Losing_Streak,Equity_Curve,Equity_Curve_Delayed,Drawdown_State,Lot_Deviation,Prev_Close_Time,Revenge_Timer,Is_High_Risk,Real_Equity,Shadow_Equity
GBPUSD,SELL,1.21274,1.21084,2025-01-13 13:12:00,1.21244,2025-01-13 13:12:00,1.21274,-700.0,20.0,-0.76,Monday,New York,6.28,3.0,13.2,11,99334.0,100034.0,5.0910815939278935,0.9746794344808964,2025-01-13 11:11:00,121.0,1,99334.0,103615.0
GBPUSD,SELL,1.21271,1.21081,2025-01-13 13:21:00,1.21239,2025-01-13 13:21:00,1.21271,-760.0,20.0,-0.82,Monday,New York,6.33,3.2,13.35,12,98574.0,99334.0,5.755218216318785,0.9746794344808964,2025-01-13 13:12:00,9.0,1,98574.0,103615.0
GBPUSD,SELL,1.21257,1.21068,2025-01-13 13:23:00,1.21227,2025-01-13 13:23:00,1.21257,-660.0,20.0,-0.72,Monday,New York,6.26,3.0,13.383333333333333,13,97914.0,98574.0,6.47628083491461,0.9746794344808964,2025-01-13 13:21:00,2.0,1,97914.0,103615.0
GBPUSD,BUY,1.22049,1.22222,2025-01-14 08:43:00,1.22209,2025-01-14 08:43:00,1.22049,-520.0,20.0,-0.58,Tuesday,London,6.68,16.0,8.716666666666667,14,97394.0,97914.0,7.1024667931688805,0.9746794344808964,2025-01-13 13:23:00,1160.0,1,97394.0,103615.0
GBPUSD,BUY,1.22085,1.21999,2025-01-15 09:22:00,1.22055,2025-01-15 09:22:00,1.22085,0.0,20.0,-0.06,Wednesday,London,-8.57,3.0,9.366666666666667,15,97394.0,97394.0,7.595825426944971,0.9746794344808964,2025-01-14 08:43:00,1479.0,0,97394.0,103615.0
GBPUSD,BUY,1.2211,1.223,2025-01-15 09:44:00,1.2214,2025-01-15 09:44:00,1.2211,60.0,20.0,0.0,Wednesday,London,6.0,3.0,9.733333333333333,0,97454.0,97394.0,7.595825426944971,0.9746794344808964,2025-01-15 09:22:00,22.0,0,97454.0,103675.0
GBPUSD,SELL,1.2725,1.26907,2025-01-15 13:39:00,1.27209,2025-01-15 13:40:00,1.2725,-41.0,1.0,-0.48,Monday,NY,0.0,-4.1,13.65,0,97413.0,97454.0,7.538899430740038,-1.0775486583496408,2025-01-15 09:44:00,235.0,1,97413.0,103675.0
GBPUSD,SELL,1.2725,1.26907,2025-01-15 13:47:00,1.27226,2025-01-15 13:48:00,1.2725,-22.0,1.0,-0.29,Monday,NY,0.0,-2.2,13.783333333333333,1,97391.0,97413.0,7.577798861480075,-1.0775486583496408,2025-01-15 13:40:00,7.0,1,97391.0,103675.0
GBPUSD,BUY,1.27179,1.27505,2025-01-15 14:09:00,1.27208,2025-01-15 14:10:00,1.27179,-29.0,1.0,-0.36,Monday,NY,0.0,-2.9,14.15,2,97362.0,97391.0,7.598671726755218,-1.0775486583496408,2025-01-15 13:48:00,21.0,1,97362.0,103675.0
GBPUSD,SELL,1.26691,1.26331,2025-01-16 09:03:00,1.26661,2025-01-16 09:04:00,1.26691,222.0,0.7,2.17,Tuesday,LND,11.0,33.0,9.05,3,97584.0,97362.0,7.626185958254269,-1.1084830695941281,2025-01-15 14:10:00,1133.0,0,97584.0,103675.0
