Date,Symbol,PnL_Saved,Risk_Score,Reason
2025-08-19 14:20:00,GBPUSD,740.0,79.9,"Losing_Streak: 0.12, Drawdown_State: 0.08, Revenge_Timer: 0.08"
2025-08-21 10:21:00,GBPUSD,780.0,86.2,"Losing_Streak: 0.10, RR Ratio: 0.09, Drawdown_State: 0.09"
2025-08-21 10:25:00,GBPUSD,500.0,82.0,"Losing_Streak: 0.13, RR Ratio: -0.09, Revenge_Timer: 0.08"
2025-08-21 10:27:00,GBPUSD,480.0,96.0,"Losing_Streak: 0.11, RR Ratio: 0.10, Drawdown_State: 0.06"
2025-08-21 10:36:00,GBPUSD,520.0,83.4,"Losing_Streak: 0.13, Revenge_Timer: 0.07, Drawdown_State: 0.07"
2025-08-21 10:36:00,GBPUSD,540.0,81.2,"Losing_Streak: 0.14, RR Ratio: -0.07, Drawdown_State: 0.07"
2025-08-23 08:55:00,GBPUSD,800.0,85.1,"Losing_Streak: 0.10, Drawdown_State: 0.09, RR Ratio: 0.09"
2025-08-23 08:56:00,GBPUSD,680.0,95.1,"Losing_Streak: 0.11, RR Ratio: 0.09, Drawdown_State: 0.07"
2025-08-23 12:26:00,GBPUSD,480.0,73.7,"Drawdown_State: 0.22, Losing_Streak: -0.19, RR Ratio: 0.13"
2025-08-23 12:27:00,GBPUSD,640.0,94.8,"RR Ratio: 0.10, Revenge_Timer: 0.09, Drawdown_State: 0.09"
2025-08-27 15:42:00,EUROUSD,700.0,82.3,"Losing_Streak: -0.20, Drawdown_State: 0.16, RR Ratio: 0.15"
2025-08-27 15:42:00,EUROUSD,740.0,91.5,"Revenge_Timer: 0.10, RR Ratio: 0.10, Drawdown_State: 0.10"
2025-08-27 15:49:00,GBPUSD,380.0,74.0,"RR Ratio: -0.12, Revenge_Timer: 0.11, Drawdown_State: 0.09"
2025-08-28 10:30:00,GBPUSD,720.0,84.8,"Losing_Streak: 0.10, Drawdown_State: 0.09, RR Ratio: 0.09"
2025-08-30 10:31:00,GBPUSD,320.0,83.4,"RR Ratio: 0.10, Losing_Streak: 0.09, Drawdown_State: 0.08"
2025-09-06 11:08:00,GBPUSD,520.0,74.4,"Drawdown_State: 0.21, Losing_Streak: -0.19, RR Ratio: 0.13"
2025-09-09 14:33:00,GBPUSD,480.0,76.5,"Drawdown_State: 0.15, RR Ratio: 0.09, Revenge_Timer: -0.06"
2025-09-11 10:59:00,GBPUSD,660.0,81.8,"Drawdown_State: 0.14, RR Ratio: 0.09, Revenge_Timer: -0.05"
2025-09-12 13:16:00,GBPUSD,600.0,87.1,"RR Ratio: 0.10, Drawdown_State: 0.10, Losing_Streak: 0.09"
2025-09-17 10:37:00,GBPUSD,-0.0,76.2,"Revenge_Timer: -0.10, RR Ratio: 0.09, Losing_Streak: 0.08"
2025-09-17 11:24:00,GBPUSD,2.7,74.3,"Drawdown_State: 0.21, Losing_Streak: -0.18, RR Ratio: 0.13"
2025-09-19 09:26:00,GBPUSD,3.0,82.6,"Drawdown_State: 0.14, RR Ratio: 0.08, Revenge_Timer: -0.05"
2025-09-20 10:32:00,GBPUSD,2.6,82.0,"Drawdown_State: 0.14, RR Ratio: 0.09, Revenge_Timer: -0.06"
2025-09-24 09:02:00,GBPUSD,640.0,73.8,"Losing_Streak: 0.13, RR Ratio: -0.12, Drawdown_State: 0.06"
2025-09-24 09:02:00,GBPUSD,-16.3,70.3,"RR Ratio: -0.14, Losing_Streak: 0.13, Revenge_Timer: 0.06"
2025-09-25 09:43:00,GBPUSD,1440.0,66.3,"Losing_Streak: -0.16, Drawdown_State: 0.14, Lot_Deviation: 0.09"
2025-09-25 09:43:00,GBPUSD,3.6,91.4,"Revenge_Timer: 0.09, RR Ratio: 0.08, Drawdown_State: 0.07"
2025-09-25 09:55:00,GBPUSD,540.0,78.8,"Revenge_Timer: 0.10, RR Ratio: -0.10, Losing_Streak: 0.08"
2025-09-25 09:55:00,GBPUSD,540.0,77.8,"Losing_Streak: 0.14, RR Ratio: -0.12, Revenge_Timer: 0.06"
2025-09-25 09:55:00,GBPUSD,2.7,95.3,"Losing_Streak: 0.11, RR Ratio: 0.09, Revenge_Timer: 0.06"
2025-09-25 10:09:00,GBPUSD,520.0,79.6,"Losing_Streak: 0.13, RR Ratio: -0.11, Revenge_Timer: 0.08"
2025-09-25 10:09:00,GBPUSD,520.0,77.7,"Losing_Streak: 0.15, RR Ratio: -0.12, Revenge_Timer: 0.06"
